County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Barton County,MO,1.6,0.6,0.6,2.9,0.1,2.7,94.5,92.4
Bartow County,GA,0.6,1.0,11.3,9.2,0.1,2.1,84.9,76.9
Bastrop County,TX,2.0,0.9,7.3,39.7,0.1,2.1,87.5,51.1
Bates County,MO,0.9,0.3,1.3,2.3,0.1,1.9,95.6,93.8
Bath County,KY,0.3,0.4,1.4,1.7,0.1,1.6,96.3,94.8
Bath County,VA,0.2,0.5,4.8,2.2,-1.0,1.5,92.9,91.1
Baxter County,AR,0.8,0.5,0.5,2.6,0.1,1.6,96.5,94.3
Bay County,FL,0.8,2.3,11.3,6.7,0.2,3.2,82.2,76.6
Bay County,MI,0.6,0.6,1.8,5.5,0.0,2.3,94.6,89.8
Bayfield County,WI,10.5,0.5,0.6,2.2,0.0,3.0,85.4,84.2
Baylor County,TX,0.9,0.5,3.1,14.2,0.1,2.5,93.0,80.4
Beadle County,SD,1.6,10.1,1.5,10.7,0.4,2.1,84.2,75.2
Bear Lake County,ID,1.1,0.5,0.4,4.3,0.1,1.4,96.5,93.1
Beaufort County,NC,1.0,0.5,24.8,8.0,0.1,1.6,72.0,65.9
Beaufort County,SC,0.4,1.5,17.9,11.1,0.1,1.9,78.2,68.5
Beauregard Parish,LA,1.2,0.7,12.1,3.8,0.1,2.5,83.4,80.5
Beaver County,OK,2.5,0.4,1.4,25.9,0.1,3.2,92.5,69.5
Beaver County,PA,0.2,0.6,6.5,1.8,0.0,2.2,90.5,89.1
Beaver County,UT,2.1,0.8,0.4,12.4,0.4,2.1,94.3,83.8
Beaverhead County,MT,1.9,0.5,0.4,5.5,0.6,2.2,94.4,89.5
Becker County,MN,8.1,0.5,0.7,2.3,0.0,3.4,87.2,86.1
Beckham County,OK,3.7,1.1,4.3,14.7,0.0,3.0,87.9,75.0
Bedford County,PA,0.2,0.4,0.7,1.3,0.0,1.0,97.6,96.7
Bedford County,TN,1.2,1.0,8.4,13.1,0.2,2.2,87.0,76.1
Bedford County,VA,0.4,1.2,7.2,2.4,0.0,1.6,89.6,87.6
Bee County,TX,1.0,0.6,8.9,59.3,0.1,1.3,88.1,30.8
Belknap County,NH,0.3,1.2,0.7,1.8,0.0,1.5,96.3,94.8
Bell County,KY,0.3,0.4,2.5,1.2,0.1,1.9,95.0,94.0
Bell County,TX,1.1,3.2,24.4,25.6,0.8,4.7,65.7,44.6
Belmont County,OH,0.2,0.5,4.2,1.1,0.0,1.7,93.4,92.4
Beltrami County,MN,22.2,0.8,0.9,2.6,0.1,3.3,72.9,71.7
Ben Hill County,GA,0.7,0.9,37.0,6.3,0.1,1.4,60.0,54.8
Benewah County,ID,8.4,0.4,0.5,3.8,0.1,4.0,86.7,84.6
Bennett County,SD,59.3,0.6,0.7,6.2,0.1,5.1,34.3,32.5
Bennington County,VT,0.3,1.1,1.4,2.2,0.1,1.6,95.5,93.7
Benson County,ND,55.6,0.2,0.5,4.1,0.0,2.1,41.6,40.5
Bent County,CO,3.6,1.5,7.3,32.2,0.1,2.0,85.5,57.0
Benton County,AR,1.9,4.2,2.1,17.1,0.7,2.7,88.5,72.6
Benton County,IA,0.3,0.4,0.7,1.6,0.1,1.1,97.4,96.1
Benton County,IN,0.3,0.2,1.1,5.4,0.1,1.3,96.9,92.1
Benton County,MN,0.6,1.1,5.2,2.8,0.0,2.2,90.8,88.6
Benton County,MO,0.8,0.4,0.6,2.1,0.1,1.8,96.3,94.5
Benton County,MS,0.4,0.1,35.8,2.6,0.0,1.5,62.2,60.1
Benton County,OR,0.9,7.0,1.2,7.8,0.3,4.1,86.5,79.8
Benton County,TN,0.6,0.6,2.6,2.7,0.0,1.6,94.6,92.3
Benton County,WA,1.3,3.3,1.8,22.6,0.3,3.3,90.0,69.4
