County,FIPS,Yes/No(1)
"Grundy County, Tennessee",47061,yes
"Guadalupe County, New Mexico",35019,yes
"Guadalupe County, Texas",48187,yes
"Gunnison County, Colorado",8051,yes
"Hale County, Texas",48189,yes
"Hall County, Texas",48191,yes
"Hamilton County, Indiana",18057,yes
"Hamilton County, Nebraska",31081,yes
"Hamilton County, New York",36041,yes
"Hamilton County, Texas",48193,yes
"Hamlin County, South Dakota",46057,yes
"Hancock County, Maine",23009,yes
"Hancock County, Mississippi",28045,yes
"Hancock County, Ohio",39063,yes
"Hancock County, West Virginia",54029,yes
"Haralson County, Georgia",13143,yes
"Hardeman County, Texas",48197,yes
"Hardin County, Ohio",39065,yes
"Hardin County, Texas",48199,yes
"Hardy County, West Virginia",54031,yes
"Harford County, Maryland",24025,yes
"Harlan County, Kentucky",21095,yes
"Harper County, Kansas",20077,yes
"Harris County, Texas",48201,yes
"Harrison County, Texas",48203,yes
"Harrison County, West Virginia",54033,yes
"Hart County, Georgia",13147,yes
"Hartford County, Connecticut",9003,yes
"Haskell County, Oklahoma",40061,yes
"Haskell County, Texas",48207,yes
"Hawkins County, Tennessee",47073,yes
"Heard County, Georgia",13149,yes
"Hempstead County, Arkansas",5057,yes
"Henderson County, North Carolina",37089,yes
"Henderson County, Texas",48213,yes
"Henry County, Ohio",39069,yes
"Herkimer County, New York",36043,yes
"Hickory County, Missouri",29085,yes
"Hidalgo County, New Mexico",35023,yes
"Hidalgo County, Texas",48215,yes
"Highlands County, Florida",12055,yes
"Hillsborough County, New Hampshire",33011,yes
"Hinds County, Mississippi",28049,yes
"Hockley County, Texas",48219,yes
"Holmes County, Ohio",39075,yes
"Holt County, Missouri",29087,yes
"Hood County, Texas",48221,yes
"Hood River County, Oregon",41027,yes
"Hopkins County, Kentucky",21107,yes
"Horry County, South Carolina",45051,yes
"Houston County, Georgia",13153,yes
"Houston County, Texas",48225,yes
"Howard County, Arkansas",5061,yes
"Howard County, Missouri",29089,yes
"Howard County, Texas",48227,yes
"Howell County, Missouri",29091,yes
"Hudson County, New Jersey",34017,yes
"Huerfano County, Colorado",8055,yes
"Hughes County, Oklahoma",40063,yes
"Hunt County, Texas",48231,yes
"Hunterdon County, New Jersey",34019,yes
"Huntingdon County, Pennsylvania",42061,yes
"Huron County, Ohio",39077,yes
"Hutchinson County, Texas",48233,yes
"Iberia Parish, Louisiana",22045,yes
"Iberville Parish, Louisiana",22047,yes
"Idaho County, Idaho",16049,yes
"Imperial County, California",6025,yes
"Independence County, Arkansas",5063,yes
"Indiana County, Pennsylvania",42063,yes
"Inyo County, California",6027,yes
"Iowa County, Iowa",19095,yes
"Iron County, Missouri",29093,yes
"Iron County, Utah",49021,yes
"Iron County, Wisconsin",55051,yes
"Iroquois County, Illinois",17075,yes
"Island County, Washington",53029,yes
"Isle of Wight County, Virginia",51093,yes
"Issaquena County, Mississippi",28055,yes
"Izard County, Arkansas",5065,yes
"Jackson County, Arkansas",5067,yes
"Jackson County, Florida",12063,yes
"Jackson County, Georgia",13157,yes
"Jackson County, Kentucky",21109,yes
"Jackson County, Michigan",26075,yes
"Jackson County, North Carolina",37099,yes
"Jackson County, Oklahoma",40065,yes
"Jackson County, Oregon",41029,yes
"Jackson County, Tennessee",47087,yes
"Jackson Parish, Louisiana",22049,yes
"Jasper County, Indiana",18073,yes
"Jasper County, Mississippi",28061,yes
"Jasper County, Missouri",29097,yes
"Jasper County, Texas",48241,yes
"Jefferson County, Colorado",8059,yes
"Jefferson County, Kansas",20087,yes
"Jefferson County, Missouri",29099,yes
"Jefferson County, Montana",30043,yes
"Jefferson County, Nebraska",31095,yes
"Jefferson County, New York",36045,yes
"Jefferson County, Oklahoma",40067,yes
"Jefferson County, Pennsylvania",42065,yes
"Jefferson County, Texas",48245,yes
"Jefferson County, West Virginia",54037,yes
"Jefferson County, Wisconsin",55055,yes
"Jessamine County, Kentucky",21113,yes
"Jewell County, Kansas",20089,yes
"Jim Hogg County, Texas",48247,yes
"Jim Wells County, Texas",48249,yes
"Johnson County, Iowa",19103,yes
"Johnson County, Texas",48251,yes
"Johnson County, Wyoming",56019,yes
"Johnston County, North Carolina",37101,yes
"Jones County, North Carolina",37103,yes
"Jones County, Texas",48253,yes
"Josephine County, Oregon",41033,yes
"Juniata County, Pennsylvania",42067,yes
"Kandiyohi County, Minnesota",27067,yes
"Kane County, Utah",49025,yes
"Kankakee County, Illinois",17091,yes
"Karnes County, Texas",48255,yes
"Kay County, Oklahoma",40071,yes
"Kearny County, Kansas",20093,yes
"Kenai Peninsula Borough, Alaska",2122,yes
"Kendall County, Texas",48259,yes
"Kenosha County, Wisconsin",55059,yes
"Kent County, Delaware",10001,yes
"Kent County, Michigan",26081,yes
"Kern County, California",6029,yes
"Kerr County, Texas",48265,yes
"Ketchikan Gateway Borough, Alaska",2130,yes
"Kewaunee County, Wisconsin",55061,yes
"King County, Washington",53033,yes
"King George County, Virginia",51099,yes
"Kingfisher County, Oklahoma",40073,yes
"Kings County, California",6031,yes
"Kiowa County, Colorado",8061,yes
"Kiowa County, Oklahoma",40075,yes
"Kleberg County, Texas",48273,yes
"Knox County, Maine",23013,yes
"Knox County, Texas",48275,yes
"Kodiak Island Borough, Alaska",2150,yes
"Kootenai County, Idaho",16055,yes
"Kosciusko County, Indiana",18085,yes
"Kusilvak Census Area, Alaska",2158,yes
"La Paz County, Arizona",4012,yes
"La Plata County, Colorado",8067,yes
"La Salle County, Illinois",17099,yes
"La Salle Parish, Louisiana",22059,yes
"LaPorte County, Indiana",18091,yes
"Labette County, Kansas",20099,yes
"Lackawanna County, Pennsylvania",42069,yes
"Lafayette County, Arkansas",5073,yes
"Lafayette County, Wisconsin",55065,yes
"Lafayette Parish, Louisiana",22055,yes
"Lake County, California",6033,yes
"Lake County, Florida",12069,yes
"Lake County, Illinois",17097,yes
"Lake County, Indiana",18089,yes
"Lake County, Montana",30047,yes
"Lake and Peninsula Borough, Alaska",2164,yes
"Lamar County, Georgia",13171,yes
"Lamb County, Texas",48279,yes
"Lamoille County, Vermont",50015,yes
"Lampasas County, Texas",48281,yes
"Lancaster County, Pennsylvania",42071,yes
"Lane County, Oregon",41039,yes
"Lapeer County, Michigan",26087,yes
"Laramie County, Wyoming",56021,yes
"Larimer County, Colorado",8069,yes
"Latah County, Idaho",16057,yes
"Latimer County, Oklahoma",40077,yes
"Lawrence County, Indiana",18093,yes
"Le Flore County, Oklahoma",40079,yes
"Lee County, Arkansas",5077,yes
"Lee County, Florida",12071,yes
"Lee County, Illinois",17103,yes
"Lee County, Texas",48287,yes
"Lenawee County, Michigan",26091,yes
"Letcher County, Kentucky",21133,yes
"Lewis County, Idaho",16061,yes
"Lewis County, New York",36049,yes
"Lewis and Clark County, Montana",30049,yes
"Lexington County, South Carolina",45063,yes
"Liberty County, Montana",30051,yes
"Limestone County, Texas",48293,yes
"Lincoln County, Georgia",13181,yes
"Lincoln County, Kansas",20105,yes
"Lincoln County, Missouri",29113,yes
"Lincoln County, Montana",30053,yes
"Lincoln County, Oklahoma",40081,yes
"Lincoln County, Oregon",41041,yes
"Lincoln County, South Dakota",46083,yes
"Lincoln County, West Virginia",54043,yes
"Lincoln County, Wyoming",56023,yes
"Lincoln Parish, Louisiana",22061,yes
"Litchfield County, Connecticut",9005,yes
"Little River County, Arkansas",5081,yes
"Livingston County, Illinois",17105,yes
"Livingston County, Kentucky",21139,yes
"Livingston County, Michigan",26093,yes
"Livingston County, New York",36051,yes
"Livingston Parish, Louisiana",22063,yes
"Llano County, Texas",48299,yes
"Logan County, Kansas",20109,yes
"Logan County, Kentucky",21141,yes
"Logan County, West Virginia",54045,yes
"Los Angeles County, California",6037,yes
"Louisa County, Virginia",51109,yes
"Lowndes County, Georgia",13185,yes
"Lubbock County, Texas",48303,yes
"Lucas County, Ohio",39095,yes
"Luna County, New Mexico",35029,yes
"Luzerne County, Pennsylvania",42079,yes
"Lycoming County, Pennsylvania",42081,yes
"Lynn County, Texas",48305,yes
"Lyon County, Nevada",32019,yes
"Macon County, Georgia",13193,yes
"Macon County, North Carolina",37113,yes
"Madera County, California",6039,yes
"Madison County, Georgia",13195,yes
"Madison County, Idaho",16065,yes
"Madison County, Illinois",17119,yes
"Madison County, Indiana",18095,yes
"Madison County, Montana",30057,yes
"Madison County, Virginia",51113,yes
"Major County, Oklahoma",40093,yes
"Malheur County, Oregon",41045,yes
"Manitowoc County, Wisconsin",55071,yes
"Marathon County, Wisconsin",55073,yes
"Marengo County, Alabama",1091,yes
"Maricopa County, Arizona",4013,yes
"Marinette County, Wisconsin",55075,yes
"Marion County, Alabama",1093,yes
"Marion County, Arkansas",5089,yes
"Marion County, Kansas",20115,yes
"Marion County, Missouri",29127,yes
"Marion County, Oregon",41047,yes
"Marion County, Texas",48315,yes
"Marquette County, Michigan",26103,yes
"Marshall County, Oklahoma",40095,yes
"Marshall County, West Virginia",54051,yes
"Martin County, Kentucky",21159,yes
"Martin County, Texas",48317,yes
"Matagorda County, Texas",48321,yes
"Matanuska-Susitna Borough, Alaska",2170,yes
"McClain County, Oklahoma",40087,yes
"McCormick County, South Carolina",45065,yes
"McCulloch County, Texas",48307,yes
"McCurtain County, Oklahoma",40089,yes
"McDonough County, Illinois",17109,yes
"McDowell County, West Virginia",54047,yes
"McDuffie County, Georgia",13189,yes
"McHenry County, Illinois",17111,yes
"McIntosh County, Oklahoma",40091,yes
"McKean County, Pennsylvania",42083,yes
"McLean County, Illinois",17113,yes
"McLean County, Kentucky",21149,yes
"McLennan County, Texas",48309,yes
"McPherson County, South Dakota",46089,yes
"Mecosta County, Michigan",26107,yes
"Mendocino County, California",6045,yes
"Merced County, California",6047,yes
"Mercer County, Pennsylvania",42085,yes
"Mercer County, West Virginia",54055,yes
"Meriwether County, Georgia",13199,yes
"Merrimack County, New Hampshire",33013,yes
"Miami-Dade County, Florida",12086,yes
"Middlesex County, Connecticut",9007,yes
"Middlesex County, Massachusetts",25017,yes
"Middlesex County, New Jersey",34023,yes
"Midland County, Michigan",26111,yes
"Midland County, Texas",48329,yes
"Mifflin County, Pennsylvania",42087,yes
"Milam County, Texas",48331,yes
"Millard County, Utah",49027,yes
"Miller County, Arkansas",5091,yes
"Mills County, Iowa",19129,yes
"Mills County, Texas",48333,yes
"Mineral County, West Virginia",54057,yes
"Mingo County, West Virginia",54059,yes
"Mississippi County, Arkansas",5093,yes
"Missoula County, Montana",30063,yes
"Mitchell County, Kansas",20123,yes
"Mobile County, Alabama",1097,yes
"Moffat County, Colorado",8081,yes
"Mohave County, Arizona",4015,yes
"Monmouth County, New Jersey",34025,yes
"Mono County, California",6051,yes
"Monroe County, Alabama",1099,yes
"Monroe County, Arkansas",5095,yes
"Monroe County, Missouri",29137,yes
"Monroe County, New York",36055,yes
"Monroe County, Pennsylvania",42089,yes
"Monroe County, Tennessee",47123,yes
"Monroe County, Wisconsin",55081,yes
"Monterey County, California",6053,yes
